row,column,r_b,pop,POI,price_c,price_r,AREA
47,41,0.7,2276.0,39.0,0.0,74.338516985,0.0
47,42,0.7,6636.36363636,195.0,30000.0,53.40666168,0.0
47,43,0.7,1057.0,33.0,0.0,0.0,0.0
47,44,0.7,533.663366337,11.0,0.0,0.0,0.0
47,45,0.7,724.0,66.0,10000.0,0.0,0.0
46,1,0.7,811.0,25.0,10000.0,0.0,41833.29625950485
46,2,0.7,1128.71287129,25.0,18000.0,0.0,363009.8310730208
46,3,0.7,118.181818182,1.0,0.0,0.0,0.0
46,4,0.7,125.0,3.0,0.0,0.0,104077.32149165246
46,5,0.7,910.0,16.0,0.0,0.0,0.0
46,6,0.7,10859.0,83.0,31360.0,34.73378653,0.0
46,7,0.7,15228.7128713,216.0,33881.5,50.6913590833,0.0
46,8,0.7,19311.1111111,854.0,37590.5,51.0821077133,0.0
46,9,0.7,1877.22772277,48.0,39834.5,62.0148429533,0.0
46,10,0.7,12357.4257426,368.0,35764.8333333,118.497607373,0.0
46,11,0.7,11950.0,322.0,35730.75,62.9570492367,0.0
46,12,0.7,370.707070707,8.0,0.0,69.381474355,492618.2435449718
46,13,0.7,239.0,0.0,0.0,0.0,0.0
46,14,0.7,353.465346535,2.0,0.0,0.0,0.0
46,15,0.7,852.0,0.0,0.0,0.0,0.0
46,16,0.7,570.408163265,4.0,0.0,0.0,0.0
46,17,0.7,260.784313725,3.0,0.0,0.0,0.0
46,18,0.7,1336.0,28.0,0.0,0.0,0.0
46,19,0.7,7200.0,48.0,65448.3333333,64.52057733,0.0
46,20,0.7,11206.0606061,113.0,57905.8333333,83.11827505,0.0
46,21,0.7,18931.0,850.0,54883.6,74.1071604733,0.0
46,22,0.7,1347.52475248,60.0,53500.0,78.4438210867,0.0
46,23,0.7,1615.0,264.0,37596.5,66.79405827,0.0
46,24,0.7,5646.46464646,36.0,0.0,0.0,0.0
46,25,0.8,7980.0,65.0,35417.6666667,59.905862,58268.420145978365
46,26,0.8,2098.0,2.0,10000.0,0.0,0.0
46,27,0.8,2548.51485149,37.0,0.0,0.0,23201.985243384992
46,28,0.8,1551.0,86.0,10000.0,0.0,0.0
46,29,0.7,2121.21212121,24.0,0.0,58.812748,0.0
