,Area,ID,assign_row,assign_col
248,0.159917044997,14732,38.0,38.0
249,0.0330371166462,14733,37.0,38.0
250,0.0349275271267,14734,37.0,38.0
251,0.0652227631265,14735,37.0,37.0
252,0.0156009841065,14736,37.0,37.0
253,0.024628004298,14737,35.0,38.0
254,0.0150100326458,14738,33.0,38.0
255,0.0162438137221,14739,36.0,35.0
256,0.00743134340143,14753,37.0,36.0
257,0.0344661163665,14754,36.0,41.0
258,0.0794173283105,14755,36.0,39.0
259,0.137999419415,14756,36.0,39.0
260,0.102335764633,14757,37.0,35.0
261,0.0163584151613,14758,37.0,36.0
262,0.0352733911101,14759,37.0,36.0
263,0.0166185566193,14760,37.0,36.0
264,0.0333713487872,14761,37.0,35.0
265,0.0489939088485,14762,37.0,35.0
266,0.0155820243828,14763,36.0,37.0
267,0.0214023536734,14764,37.0,35.0
268,0.0390789838493,14765,36.0,38.0
269,0.135704458267,14766,36.0,37.0
270,0.0324011119775,14802,23.0,47.0
271,0.0167634537718,14803,23.0,47.0
272,0.00473634050341,14804,23.0,47.0
273,0.0102950448535,14805,23.0,47.0
274,0.0247352647021,14806,23.0,47.0
275,0.0490584977055,14807,23.0,47.0
276,0.0727225772182,14808,24.0,47.0
277,0.0210037812199,14835,20.0,36.0
278,0.0152817629408,14836,20.0,36.0
279,0.0469100074876,14837,20.0,36.0
280,0.0318230246686,14838,20.0,36.0
281,0.0218811350623,14839,20.0,36.0
282,0.0398939388523,14840,19.0,41.0
283,0.00428007073556,14841,18.0,38.0
284,0.117451709036,14842,20.0,42.0
285,0.0407526265058,14843,20.0,42.0
286,0.0504246054515,14844,20.0,42.0
287,0.0619728668795,14845,20.0,42.0
288,0.162186507265,14846,20.0,43.0
289,0.0220480085767,14847,22.0,46.0
290,0.10744105596,14848,21.0,46.0
291,0.178087098921,14849,21.0,47.0
292,0.0559737349473,14850,22.0,47.0
293,0.09253681206,14851,22.0,47.0
294,0.0241751120563,14852,21.0,47.0
295,0.0305974136349,14853,21.0,44.0
296,0.0531423341299,14854,20.0,44.0
297,0.070934320299,14855,21.0,44.0
298,0.0651518804864,14856,21.0,44.0
299,0.0509118758802,14857,20.0,44.0
300,0.0668885682858,14858,20.0,45.0
301,0.0326535612676,14859,23.0,47.0
302,0.0367125887553,15345,35.0,44.0
303,0.342515642387,15383,16.0,35.0
304,0.0515638648531,15542,22.0,32.0
305,0.0810108879509,15543,35.0,31.0
306,0.0142887493168,15544,27.0,36.0
307,0.0864081205039,15545,39.0,36.0
308,0.0481652839528,15554,31.0,35.0
309,0.00490315002288,15558,21.0,32.0
310,0.0382125409902,15559,40.0,36.0
311,0.0282188393546,15560,31.0,35.0
