,Unnamed: 0,ID,year,FAR,r_c,r_r,r_poi
57,57,14085,5,2,0.7,0.2,0.1
58,58,14086,11,2,0.7,0.2,0.1
59,59,14087,11,2,0.7,0.2,0.1
60,60,14088,11,2,0.7,0.2,0.1
61,61,14089,8,2,0.6,0.3,0.1
62,62,14090,8,2,0.6,0.3,0.1
63,63,14092,9,2,0.7,0.2,0.1
64,64,14093,5,2,0.7,0.2,0.1
65,65,14094,6,2,0.6,0.3,0.1
66,66,14095,8,2,0.6,0.3,0.1
67,67,14096,9,2,0.7,0.2,0.1
68,68,14097,11,2,0.7,0.2,0.1
69,69,14098,5,2,0.7,0.2,0.1
70,70,14099,2,2,0.7,0.2,0.1
71,71,14100,5,2,0.7,0.2,0.1
72,72,14101,3,2,0.6,0.3,0.1
73,73,14102,3,2,0.6,0.3,0.1
74,74,14103,10,2,0.7,0.2,0.1
75,75,14104,10,2,0.7,0.2,0.1
76,76,14106,2,2,0.7,0.2,0.1
77,77,14107,8,2,0.6,0.3,0.1
78,78,14108,9,2,0.7,0.2,0.1
79,79,14109,3,2,0.6,0.3,0.1
80,80,14110,3,2,0.6,0.3,0.1
81,81,14111,8,2,0.6,0.3,0.1
82,82,14113,2,2,0.6,0.3,0.1
83,83,14114,8,2,0.6,0.3,0.1
84,84,14115,3,2,0.6,0.3,0.1
85,85,14116,3,2,0.7,0.2,0.1
86,86,14117,3,2,0.7,0.2,0.1
87,87,14118,6,2,0.6,0.3,0.1
88,88,14119,3,2,0.7,0.2,0.1
89,89,14121,8,2,0.6,0.3,0.1
90,90,14122,8,2,0.6,0.3,0.1
91,91,14123,7,2,0.6,0.3,0.1
92,92,14124,8,2,0.6,0.3,0.1
93,93,14135,6,2,0.6,0.3,0.1
94,94,14142,6,2,0.6,0.3,0.1
95,95,14143,4,2,0.7,0.2,0.1
96,96,14144,4,2,0.7,0.2,0.1
97,97,14151,10,2,0.7,0.2,0.1
98,98,14153,9,2,0.6,0.3,0.1
99,99,14156,9,2,0.6,0.3,0.1
100,100,14158,5,2,0.7,0.2,0.1
101,101,14160,5,2,0.6,0.3,0.1
102,102,14162,9,2,0.6,0.3,0.1
103,103,14163,12,2,0.7,0.2,0.1
104,104,14172,5,2,0.6,0.3,0.1
105,105,14173,8,2,0.7,0.2,0.1
106,106,14174,8,2,0.7,0.2,0.1
107,107,14175,8,2,0.7,0.2,0.1
108,108,14176,3,2,0.7,0.2,0.1
109,109,14177,2,2,0.6,0.3,0.1
110,110,14184,12,2,0.7,0.2,0.1
